rowid,wetland,date,wl_m_dailyavg,wl_pos,area_m2
1,BB,2017-10-01,0.061779677204851745,TRUE,45.16225243941335
2,BB,2017-10-02,0.04505407529639163,TRUE,26.09374488110825
3,BB,2017-10-03,0.023877781144063148,TRUE,NA
4,BB,2017-10-04,0.002187388678513053,TRUE,1.0036056157798612
5,BB,2017-10-30,0.12342017315557713,TRUE,85.30648002366252
6,BB,2017-10-31,0.14325739244776756,TRUE,99.35695644967564
7,BB,2017-11-01,0.1453714701733542,TRUE,99.35695644967564
8,BB,2017-11-02,0.1469657590481728,TRUE,99.35695644967564
9,BB,2017-11-03,0.1484454102591698,TRUE,100.3605608519174
10,BB,2017-11-04,0.14602256022846574,TRUE,99.35695644967564
11,BB,2017-11-05,0.16555408267816568,TRUE,108.38940601738614
12,BB,2017-11-06,0.17977767709295053,TRUE,116.41825491216878
13,BB,2017-11-07,0.18423654071787016,TRUE,119.42907287892922
14,BB,2017-11-08,0.27271508098306857,TRUE,159.57329978222697
15,BB,2017-11-09,0.30435474871611784,TRUE,181.65262013146457
16,BB,2017-11-10,0.31405058846754524,TRUE,191.68867644349848
17,BB,2017-11-11,0.31412274558118797,TRUE,191.68867644349848
18,BB,2017-11-12,0.3147046760774062,TRUE,191.68867644349848
19,BB,2017-11-13,0.322039321183016,TRUE,196.70670286248242
20,BB,2017-11-14,0.33314977759259035,TRUE,203.73194786499425
21,BB,2017-11-15,0.33494849511199926,TRUE,203.73194786499425
22,BB,2017-11-16,0.33660836134937083,TRUE,203.73194786499425
23,BB,2017-11-17,0.3332601098739392,TRUE,203.73194786499425
24,BB,2017-11-18,0.3305019905993464,TRUE,202.72834389324453
25,BB,2017-11-19,0.3308914245466392,TRUE,202.72834389324453
26,BB,2017-11-20,0.335573983114784,TRUE,203.73194786499425
27,BB,2017-11-21,0.3365799362263009,TRUE,203.73194786499425
28,BB,2017-11-22,0.33701006079473944,TRUE,204.73555283749647
29,BB,2017-11-23,0.33657460959708085,TRUE,203.73194786499425
30,BB,2017-11-24,0.33630697391408865,TRUE,203.73194786499425
31,BB,2017-11-25,0.33589703719310243,TRUE,203.73194786499425
32,BB,2017-11-26,0.33165659912553935,TRUE,202.72834389324453
33,BB,2017-11-27,0.32933593281703283,TRUE,202.72834389324453
34,BB,2017-11-28,0.3253950724228734,TRUE,200.72113153937426
35,BB,2017-11-29,0.32406014080477097,TRUE,199.71752490143444
36,BB,2017-11-30,0.3151486623272158,TRUE,192.69228170960014
37,BB,2017-12-01,0.31254152388210804,TRUE,191.68867644349848
38,BB,2017-12-02,0.3043860038192421,TRUE,181.65262013146457
39,BB,2017-12-03,0.3053513515603293,TRUE,184.66343732954738
40,BB,2017-12-04,0.30327268833078025,TRUE,181.65262013146457
41,BB,2017-12-05,0.29562722750491505,TRUE,173.6237754123938
42,BB,2017-12-06,0.3054246648682689,TRUE,184.66343732954738
43,BB,2017-12-07,0.3033147400334641,TRUE,181.65262013146457
44,BB,2017-12-08,0.2995453216590337,TRUE,177.63819738791244
45,BB,2017-12-09,0.2969781391898363,TRUE,174.62738094299107
46,BB,2017-12-10,0.3050525568422227,TRUE,184.66343732954738
47,BB,2017-12-11,0.3067511602588971,TRUE,186.6706483814287
48,BB,2017-12-12,0.30758884580136153,TRUE,188.6778603054936
49,BB,2017-12-13,0.3136375575022898,TRUE,191.68867644349848
50,BB,2017-12-14,0.314005404473942,TRUE,191.68867644349848
51,BB,2017-12-15,0.30690900404297905,TRUE,186.6706483814287
52,BB,2017-12-16,0.3064054612146346,TRUE,186.6706483814287
53,BB,2017-12-17,0.30383442940440897,TRUE,181.65262013146457
54,BB,2017-12-18,0.3005486791857667,TRUE,179.64540762206343
55,BB,2017-12-19,0.29930571555456253,TRUE,177.63819738791244
56,BB,2017-12-20,0.3003656738663525,TRUE,178.64180347171532
57,BB,2017-12-21,0.29770999666218323,TRUE,174.62738094299107
58,BB,2017-12-22,0.2886317187510724,TRUE,173.6237754123938
59,BB,2017-12-23,0.2807850784930562,TRUE,165.59493305680348
60,BB,2017-12-24,0.2851282713333338,TRUE,170.61295959127142
61,BB,2017-12-25,0.2852123628263892,TRUE,170.61295959127142
62,BB,2017-12-26,0.2817545206319445,TRUE,166.59853859019472
63,BB,2017-12-27,0.2767911751597223,TRUE,162.58411821990012
